WAVELENGTH,FLUX,ERROR
769.363,1.0000,1.0000
769.540,1.0000,1.0000
769.717,1.0000,1.0000
769.895,1.0000,1.0000
770.072,1.0000,1.0000
770.249,1.0000,1.0000
770.427,1.0000,1.0000
770.604,1.0000,1.0000
770.782,1.0000,1.0000
770.959,1.0000,1.0000
771.137,1.0000,1.0000
771.314,1.0000,1.0000
771.492,1.0000,1.0000
771.669,1.0000,1.0000
771.847,1.0000,1.0000
772.025,1.0000,1.0000
772.203,1.0000,1.0000
772.381,1.0000,1.0000
772.558,1.0000,1.0000
772.736,1.0000,1.0000
772.914,1.0000,1.0000
773.092,1.0000,1.0000
773.270,1.0000,1.0000
773.448,1.0000,1.0000
773.627,1.0000,1.0000
773.805,1.0000,1.0000
773.983,1.0000,1.0000
774.161,1.0000,1.0000
774.339,1.0000,1.0000
774.518,1.0000,1.0000
774.696,1.0000,1.0000
774.875,1.0000,1.0000
775.053,1.0000,1.0000
775.231,1.0000,1.0000
775.410,1.0000,1.0000
775.588,1.0000,1.0000
775.767,1.0000,1.0000
775.946,1.0000,1.0000
776.124,1.0000,1.0000
776.303,1.0000,1.0000
776.482,1.0000,1.0000
776.661,1.0000,1.0000
776.840,1.0000,1.0000
777.018,1.0000,1.0000
777.197,1.0000,1.0000
777.376,1.0000,1.0000
777.555,1.0000,1.0000
777.734,1.0000,1.0000
777.914,1.0000,1.0000
778.093,1.0000,1.0000
778.272,1.0000,1.0000
778.451,1.0000,1.0000
778.630,1.0000,1.0000
778.810,1.0000,1.0000
778.989,1.0000,1.0000
779.168,1.0000,1.0000
779.348,1.0000,1.0000
779.527,1.0000,1.0000
779.707,1.0000,1.0000
779.886,1.0000,1.0000
780.066,1.0000,1.0000
780.246,1.0000,1.0000
780.425,1.0000,1.0000
780.605,1.0000,1.0000
780.785,1.0000,1.0000
780.965,1.0000,1.0000
781.144,1.0000,1.0000
781.324,1.0000,1.0000
781.504,1.0000,1.0000
781.684,1.0000,1.0000
781.864,1.0000,1.0000
782.044,1.0000,1.0000
782.224,1.0000,1.0000
782.404,1.0000,1.0000
782.585,1.0000,1.0000
782.765,1.0000,1.0000
782.945,1.0000,1.0000
783.125,1.0000,1.0000
783.306,1.0000,1.0000
783.486,1.0000,1.0000
783.667,1.0000,1.0000
783.847,1.0000,1.0000
784.028,1.0000,1.0000
784.208,1.0000,1.0000
784.389,1.0000,1.0000
784.569,1.0000,1.0000
784.750,1.0000,1.0000
784.931,1.0000,1.0000
785.112,1.0000,1.0000
785.292,1.0000,1.0000
785.473,1.0000,1.0000
785.654,1.0000,1.0000
785.835,1.0000,1.0000
786.016,1.0000,1.0000
786.197,1.0000,1.0000
786.378,1.0000,1.0000
786.559,1.0000,1.0000
786.740,1.0000,1.0000
786.921,1.0000,1.0000
787.103,1.0000,1.0000
787.284,1.0000,1.0000
787.465,1.0000,1.0000
787.646,1.0000,1.0000
787.828,1.0000,1.0000
788.009,1.0000,1.0000
788.191,1.0000,1.0000
788.372,1.0000,1.0000
788.554,1.0000,1.0000
788.735,1.0000,1.0000
788.917,1.0000,1.0000
789.099,1.0000,1.0000
789.280,1.0000,1.0000
789.462,1.0000,1.0000
789.644,1.0000,1.0000
789.826,1.0000,1.0000
790.008,1.0000,1.0000
790.190,1.0000,1.0000
790.372,1.0000,1.0000
790.554,1.0000,1.0000
790.736,1.0000,1.0000
790.918,1.0000,1.0000
791.100,1.0000,1.0000
791.282,1.0000,1.0000
791.464,1.0000,1.0000
791.647,1.0000,1.0000
791.829,1.0000,1.0000
792.011,1.0000,1.0000
792.194,1.0000,1.0000
792.376,1.0000,1.0000
792.558,1.0000,1.0000
792.741,1.0000,1.0000
792.924,1.0000,1.0000
793.106,1.0000,1.0000
793.289,1.0000,1.0000
793.471,1.0000,1.0000
793.654,1.0000,1.0000
793.837,1.0000,1.0000
794.020,1.0000,1.0000
794.203,1.0000,1.0000
794.386,1.0000,1.0000
794.568,1.0000,1.0000
794.751,1.0000,1.0000
794.935,1.0000,1.0000
795.117,1.0000,1.0000
795.301,1.0000,1.0000
795.484,1.0000,1.0000
795.667,1.0000,1.0000
795.850,1.0000,1.0000
796.034,1.0000,1.0000
796.217,1.0000,1.0000
796.400,1.0000,1.0000
796.584,1.0000,1.0000
796.767,1.0000,1.0000
796.951,1.0000,1.0000
797.134,1.0000,1.0000
797.318,1.0000,1.0000
797.501,1.0000,1.0000
797.685,1.0000,1.0000
797.869,1.0000,1.0000
798.052,1.0000,1.0000
798.236,1.0000,1.0000
798.420,1.0000,1.0000
798.604,1.0000,1.0000
798.788,1.0000,1.0000
798.972,1.0000,1.0000
799.156,1.0000,1.0000
799.340,1.0000,1.0000
799.524,1.0000,1.0000
799.708,1.0000,1.0000
799.892,1.0000,1.0000
800.076,1.0000,1.0000
800.260,1.0000,1.0000
800.445,1.0000,1.0000
800.629,1.0000,1.0000
800.813,1.0000,1.0000
800.998,1.0000,1.0000
801.182,1.0000,1.0000
801.367,1.0000,1.0000
801.551,1.0000,1.0000
801.736,1.0000,1.0000
801.921,1.0000,1.0000
802.105,1.0000,1.0000
802.290,1.0000,1.0000
802.475,1.0000,1.0000
802.659,1.0000,1.0000
802.844,1.0000,1.0000
803.029,1.0000,1.0000
803.214,1.0000,1.0000
803.399,1.0000,1.0000
803.584,1.0000,1.0000
803.769,1.0000,1.0000
803.954,1.0000,1.0000
804.139,1.0000,1.0000
804.325,1.0000,1.0000
804.510,1.0000,1.0000
804.695,1.0000,1.0000
804.880,1.0000,1.0000
