WAVELENGTH,FLUX,ERROR
735.752,1.4156,0.7452
735.921,1.2042,0.6989
736.091,1.1188,0.8912
736.260,1.6876,0.5854
736.430,1.1698,0.7176
736.599,0.9690,0.7808
736.769,1.1798,0.4940
736.939,1.3127,0.7446
737.108,1.4062,0.7367
737.278,1.3469,0.4657
737.448,2.1024,0.8611
737.618,0.7651,0.5367
737.788,1.0188,0.5320
737.958,1.9164,0.7535
738.127,1.1656,0.9742
738.297,0.9995,0.7734
738.467,0.9741,0.5111
738.638,1.3820,0.5399
738.808,1.2234,0.9802
738.978,1.1143,0.8873
739.148,1.0463,0.5248
739.318,1.0000,1.0000
739.488,1.6733,0.7155
739.659,1.4800,0.6449
739.829,1.0000,1.0000
739.999,1.8212,0.9158
740.170,1.6072,0.7375
740.340,1.2354,0.4426
740.511,1.5903,0.6665
740.681,1.5319,0.8442
740.852,1.0125,0.4535
741.022,1.8800,0.6709
741.193,1.0211,0.4933
741.364,1.1063,0.4725
741.534,0.9956,0.7411
741.705,1.7820,0.7163
741.876,2.0634,0.9029
742.047,1.0364,0.5215
742.218,1.0000,1.0000
742.389,1.5169,0.6701
742.560,1.2715,0.5664
742.731,0.9126,0.7806
742.902,0.6966,0.5176
743.073,0.9860,0.7783
743.244,0.8142,0.5109
743.415,1.4216,0.9036
743.586,1.5434,0.7967
743.757,1.8454,0.6473
743.929,1.0315,0.9236
744.100,1.2750,0.7576
744.271,1.2029,0.7534
744.443,1.3008,0.7154
744.614,2.1113,0.6106
744.786,2.1294,0.7072
744.957,1.4392,0.5120
745.129,1.0000,1.0000
745.300,1.8317,0.7335
745.472,1.3602,0.5961
745.644,1.2555,0.7549
745.815,0.9990,0.7298
745.987,1.7270,0.6891
746.159,1.7402,0.5753
746.331,1.5304,0.6811
746.503,1.3414,0.3928
746.674,1.9863,0.6066
746.846,1.0186,0.4558
747.018,1.3813,0.3778
747.190,1.8210,0.7027
747.362,1.7247,0.6666
747.535,1.4094,0.6193
747.707,1.5196,0.3631
747.879,0.7281,0.4311
748.051,1.4206,0.4902
748.224,1.0572,0.4584
748.396,1.0236,0.7869
748.568,1.3060,0.3981
748.740,1.3360,0.4313
748.913,1.3340,0.7560
749.085,1.5068,0.7004
749.258,1.2558,0.5948
749.430,0.9107,0.6295
749.603,0.9863,0.6575
749.776,1.4003,0.4562
749.948,2.0850,0.5633
750.121,1.6217,0.8183
750.294,1.6642,0.4546
750.466,1.4383,0.5541
750.639,2.1767,0.6564
750.812,2.5670,0.6520
750.985,0.9645,0.3738
751.158,1.4146,0.5664
751.331,1.2717,0.4391
751.504,1.1433,0.4053
751.677,0.8917,0.4010
751.850,1.1634,0.6141
752.023,1.3926,0.6074
752.197,1.8565,0.5700
752.370,0.9684,0.3663
752.543,1.3310,0.3548
752.716,1.8248,0.4911
752.890,1.5112,0.6725
753.063,0.9857,0.5530
753.237,1.6937,0.4954
753.410,1.1968,0.4179
753.583,1.5104,0.5552
753.757,0.9447,0.4900
753.931,1.1895,0.4994
754.104,1.4373,0.5043
754.278,0.7486,0.3806
754.452,1.2365,0.6511
754.625,1.4903,0.5882
754.799,1.9449,0.5653
754.973,2.2609,0.6301
755.147,1.8171,0.5533
755.321,0.7889,0.3924
755.495,1.5504,0.5242
755.669,1.2134,0.3963
755.843,1.8973,0.4941
756.017,1.0604,0.3796
756.191,1.2579,0.4198
756.365,1.3071,0.3872
756.539,1.4850,0.3809
756.713,1.0153,0.3638
756.887,1.5083,0.5958
757.062,1.2916,0.4808
757.236,0.8993,0.3649
757.411,1.7724,0.5122
757.585,0.9579,0.5635
757.759,1.1868,0.6251
757.934,1.3576,0.3692
758.108,1.7145,0.6207
758.283,1.4100,0.6706
758.458,1.0576,0.3387
758.632,1.3315,0.6099
758.807,1.3767,0.5450
758.982,1.4817,0.6160
759.156,1.8283,0.5197
759.331,1.6114,0.5666
759.506,0.8604,0.3777
759.681,1.4651,0.3640
759.856,0.9882,0.5043
760.031,1.0654,0.4399
760.206,1.3607,0.5624
760.381,0.9046,0.4045
760.556,1.6128,0.3937
760.731,1.8630,0.5760
760.907,1.5757,0.5712
761.082,0.9451,0.4848
761.257,1.3215,0.4182
761.432,1.3408,0.4428
761.608,2.9002,0.6111
761.783,1.0056,0.3707
761.959,1.0335,0.5788
762.134,1.3754,0.4735
762.309,1.0862,0.3698
762.485,1.2035,0.4930
762.661,1.2206,0.5914
762.836,1.5175,0.5650
763.012,1.2034,0.4728
763.188,1.4939,0.4641
763.363,1.2793,0.3274
763.539,1.2099,0.5070
763.715,1.4044,0.4818
763.891,1.7184,0.6785
764.067,1.0972,0.3446
764.243,1.3206,0.3021
764.419,1.1398,0.4666
764.595,1.5419,0.6154
764.771,1.7790,0.4311
764.947,1.3218,0.3776
765.123,1.4366,0.6513
765.299,1.4968,0.3960
765.476,1.6451,0.4493
765.652,1.2394,0.3696
765.828,1.5777,0.4521
766.005,1.8053,0.4161
766.181,1.1851,0.3114
766.357,1.1467,0.3414
766.534,2.0843,0.5823
766.710,1.5677,0.4727
766.887,1.8789,0.5017
767.064,1.0550,0.3243
767.240,1.2722,0.4035
767.417,1.9555,0.4921
767.594,1.0745,0.3300
767.770,1.4655,0.4135
767.947,2.1713,0.4584
768.124,1.8251,0.4264
768.301,0.9303,0.7111
768.478,1.0638,0.5478
768.655,1.3756,0.4985
768.832,0.9729,0.3500
769.009,1.3261,0.3667
769.186,1.1609,0.3416
769.363,1.9712,0.5937
769.540,1.3638,0.4280
769.717,1.1812,0.4363
769.895,1.5439,0.4347
770.072,1.1786,0.3445
770.249,1.0554,0.3645
770.427,1.2893,0.2785
770.604,1.4244,0.2865
770.782,0.9834,0.4105
770.959,1.5672,0.4353
771.137,1.3898,0.3817
771.314,2.0616,0.4761
771.492,1.1176,0.4016
771.669,1.5796,0.3908
771.847,1.0573,0.2976
772.025,1.0000,0.3238
772.203,0.8092,0.3301
772.381,0.9066,0.5226
772.558,1.3136,0.3856
772.736,1.5763,0.3917
772.914,1.2278,0.4123
773.092,1.8113,0.4318
773.270,0.8761,0.2696
773.448,0.9491,0.2870
773.627,1.4273,0.4381
773.805,1.7002,0.3813
773.983,1.2553,0.3529
774.161,1.2160,0.3739
774.339,1.5007,0.4019
774.518,1.2351,0.4678
774.696,1.4252,0.4273
774.875,1.7335,0.4685
775.053,1.0052,0.3454
775.231,1.2550,0.4545
775.410,1.4407,0.4142
775.588,1.1084,0.3022
775.767,1.0684,0.4066
775.946,1.2348,0.3521
776.124,1.9008,0.4011
776.303,1.7365,0.4756
776.482,2.2456,0.6362
776.661,1.6489,0.6337
776.840,1.2969,0.3680
777.018,1.5403,0.3670
777.197,1.2132,0.3540
777.376,1.0200,0.3445
777.555,1.4760,0.3015
777.734,0.8635,0.2870
777.914,1.6693,0.4099
778.093,1.7516,0.4145
778.272,1.3899,0.3096
778.451,1.5108,0.4359
778.630,0.8132,0.3058
778.810,1.6285,0.4723
778.989,1.5775,0.4511
779.168,0.8809,0.3741
779.348,1.4678,0.3055
779.527,0.9882,0.8167
779.707,1.0783,0.4437
779.886,1.1559,0.3041
780.066,0.8661,0.2960
780.246,0.8061,0.3145
780.425,1.0191,0.3973
780.605,1.2546,0.3690
780.785,1.3750,0.4069
780.965,1.2745,0.4727
781.144,1.1787,0.3128
781.324,1.1545,0.2513
781.504,1.1197,0.2896
781.684,1.2334,0.3930
781.864,0.9394,0.3265
782.044,1.8812,0.4254
782.224,1.3045,0.4409
782.404,1.2981,0.2961
782.585,1.6562,0.3612
782.765,2.0049,0.3906
782.945,1.4034,0.3793
783.125,1.1796,0.3659
783.306,1.3516,0.4153
783.486,1.8318,0.4421
783.667,1.1894,0.2730
783.847,1.0135,0.4315
784.028,1.0584,0.3280
784.208,1.1243,0.2908
784.389,1.0606,0.4066
784.569,1.2220,0.4104
784.750,1.5702,0.3876
784.931,1.4766,0.3200
785.112,0.9813,0.2651
785.292,1.2751,0.3540
785.473,1.3587,0.3529
785.654,1.0566,0.3104
785.835,0.9458,0.2668
786.016,1.0688,0.3479
786.197,1.6976,0.4182
786.378,1.2179,0.3228
786.559,1.2775,0.3007
786.740,1.2444,0.3154
786.921,0.8521,0.3220
787.103,0.8680,0.3701
787.284,1.0531,0.2702
787.465,1.1943,0.2997
787.646,1.5966,0.4245
787.828,1.2798,0.3799
788.009,1.5824,0.3996
788.191,1.0642,0.2658
788.372,1.0847,0.2899
788.554,0.8978,0.4084
788.735,1.1575,0.2867
788.917,1.4302,0.3266
789.099,0.9652,0.3422
789.280,0.9952,0.2995
789.462,1.2018,0.2537
789.644,1.0091,0.2807
789.826,0.7893,0.2712
790.008,1.2651,0.4051
790.190,1.0044,0.2971
790.372,1.6821,0.3361
790.554,1.5082,0.2981
790.736,1.3818,0.3223
790.918,1.1200,0.2912
791.100,0.8289,0.2619
791.282,1.2196,0.2885
791.464,1.3485,0.4014
791.647,1.2293,0.3488
791.829,1.2840,0.2586
792.011,1.1707,0.3382
792.194,1.4555,0.3344
792.376,1.0711,0.2553
792.558,0.9509,0.4045
792.741,1.0644,0.2947
792.924,1.2194,0.2537
793.106,1.1441,0.3738
793.289,1.0240,0.2363
793.471,1.9030,0.3104
793.654,1.6819,0.2605
793.837,1.3987,0.3330
794.020,1.1538,0.3252
794.203,1.4193,0.3593
794.386,1.3929,0.2571
794.568,1.4593,0.3178
794.751,0.9214,0.2664
794.935,1.5036,0.3280
795.117,1.0103,0.2504
795.301,1.1568,0.2876
795.484,1.3206,0.2752
795.667,0.8844,0.3057
795.850,1.0954,0.2823
796.034,1.2566,0.2470
796.217,1.3835,0.2804
796.400,1.1271,0.2692
796.584,1.1867,0.2544
796.767,0.8893,0.2535
796.951,0.9081,0.2665
797.134,1.1171,0.3212
797.318,1.0328,0.2938
797.501,1.1832,0.2465
797.685,1.2411,0.3178
797.869,1.2175,0.2686
798.052,0.9638,0.2560
798.236,0.9749,0.2688
798.420,1.4510,0.3242
798.604,0.7724,0.3079
798.788,0.8820,0.3498
798.972,1.8839,0.3109
799.156,1.1609,0.2588
799.340,1.1625,0.2764
799.524,1.0338,0.2817
799.708,1.3934,0.2855
799.892,0.8362,0.2255
800.076,1.5008,0.2707
800.260,0.8600,0.2670
800.445,1.1158,0.3787
800.629,1.0208,0.2364
800.813,1.0333,0.3151
800.998,1.1704,0.2782
801.182,1.4252,0.2877
801.367,1.2144,0.2511
801.551,1.3540,0.3149
801.736,1.4885,0.3592
801.921,0.9828,0.2332
802.105,0.8686,0.2651
802.290,1.1186,0.2566
802.475,1.0208,0.2552
802.659,1.2649,0.2947
802.844,1.2156,0.2807
803.029,1.5964,0.3298
803.214,1.8211,0.3534
803.399,0.8647,0.2414
803.584,1.4945,0.2628
803.769,1.5019,0.2659
803.954,0.9769,0.2460
804.139,0.9778,0.2135
804.325,1.3593,0.2622
804.510,1.4129,0.2585
804.695,1.6349,0.2876
804.880,2.1040,0.3128
805.066,1.0304,0.2588
805.251,1.0164,0.2472
805.437,1.0706,0.2529
805.622,1.0979,0.2392
805.807,1.0823,0.2291
805.993,1.1090,0.2532
806.179,0.9431,0.2244
806.364,1.1996,0.3054
806.550,1.1367,0.2115
806.736,1.4513,0.2760
806.922,1.6977,0.4147
807.107,1.4750,0.2520
807.293,1.7122,0.3472
807.479,1.2293,0.3476
807.665,1.0040,0.2248
807.851,0.8993,0.2855
808.037,1.5919,0.2927
808.223,1.1730,0.2427
808.409,0.9563,0.2443
808.596,1.3449,0.2543
808.782,1.0651,0.2574
808.968,0.8571,0.1877
809.154,0.7657,0.1966
809.341,1.4858,0.2264
809.527,1.1550,0.2407
809.713,1.4704,0.3215
809.900,1.2226,0.2060
810.086,1.1333,0.2529
810.273,1.3359,0.2294
810.460,1.0788,0.2525
810.646,1.8116,0.3769
810.833,0.9103,0.3064
811.020,1.5583,0.3515
811.206,1.0984,0.2301
811.393,1.0834,0.2650
811.580,1.2211,0.2739
811.767,1.1118,0.2069
811.954,1.3653,0.3337
812.141,1.3337,0.3387
812.328,1.3822,0.2794
812.515,1.0248,0.2486
812.702,1.1902,0.2407
812.889,0.9467,0.2062
813.076,1.6873,0.2999
813.264,1.0666,0.2488
813.451,1.1236,0.2252
813.638,1.0835,0.2339
813.826,1.3197,0.2874
814.013,1.2597,0.2311
814.201,1.1630,0.2188
814.388,1.3636,0.2374
814.576,1.1046,0.2040
814.763,1.1354,0.2108
814.951,0.9332,0.2249
815.138,1.3792,0.2222
815.326,1.1508,0.2138
815.514,1.2119,0.2473
815.702,0.8476,0.1996
815.889,1.2817,0.2543
816.077,0.9720,0.2776
816.265,1.1013,0.2970
816.453,0.8781,0.2168
816.641,1.2667,0.2789
816.829,1.0396,0.2095
817.018,1.2181,0.2335
817.206,1.2294,0.3557
817.394,0.8754,0.2205
817.582,1.6106,0.3271
817.770,1.2498,0.3065
817.959,1.3739,0.2540
818.147,1.2109,0.2507
818.335,1.1019,0.2549
818.524,1.3408,0.3063
818.712,1.7934,0.3295
818.901,0.9925,0.1883
819.089,1.2306,0.2009
819.278,1.4116,0.3318
819.467,1.2715,0.2580
819.655,0.9776,0.2118
819.844,0.9023,0.2305
820.033,1.7350,0.3013
820.222,1.4890,0.2716
820.411,1.3489,0.2859
820.600,1.1083,0.2706
820.789,1.1542,0.2789
820.978,1.0061,0.2339
821.167,0.9615,0.2114
821.356,1.0888,0.3629
821.545,1.3427,0.2438
821.734,1.1836,0.2260
821.923,1.0811,0.1998
822.113,0.8032,0.1704
822.302,1.2245,0.2349
822.491,1.3627,0.2465
822.681,1.0986,0.1784
822.870,1.2286,0.2689
823.060,1.3416,0.2864
823.249,1.1210,0.1836
823.439,1.2183,0.2187
823.628,2.0059,0.3791
823.818,1.3611,0.2381
824.008,1.0700,0.2173
824.198,1.1690,0.2601
824.387,0.9609,0.1986
824.577,1.2920,0.2033
824.767,1.5158,0.2699
824.957,1.0225,0.2221
825.147,0.9424,0.1912
825.337,1.2858,0.2215
825.527,0.9208,0.1754
825.717,0.9475,0.1855
825.907,1.0784,0.1751
826.098,0.8289,0.1871
826.288,1.1515,0.2290
826.478,1.4197,0.2437
826.668,0.8443,0.2138
826.859,1.2106,0.2163
827.049,1.4946,0.1918
827.240,1.2322,0.1988
827.430,1.0578,0.2036
827.621,1.2190,0.2045
